Latitude,Longitude
55.9203687,-3.3039507
55.9209925,-3.3037614
55.9212188,-3.3039853
55.9212591,-3.3019883
55.9209258,-3.3016287
55.9209093,-3.3015798
55.9210751,-3.3000319
55.9211287,-3.2992867
55.9212221,-3.2982838
55.9212278,-3.2982555
55.9215121,-3.2968368
55.921561,-3.2965947
55.921724,-3.2957726
55.9217346,-3.2957191
55.9218933,-3.2949185
55.9220008,-3.2943762
55.922079,-3.2939818
55.9223819,-3.2924491
55.9224182,-3.2918422
55.9222992,-3.2914864
55.9223336,-3.2912467
55.9226035,-3.290732
55.922627,-3.2904962
55.9227977,-3.289311
55.9230112,-3.2881202
55.9230898,-3.2875252
55.9231184,-3.2873015
55.9232774,-3.2869689
55.9232164,-3.2868329
55.9232612,-3.2861383
55.9235739,-3.2838537
55.9237417,-3.2827653
55.9238178,-3.2823182
55.9240155,-3.2818329
55.9239717,-3.2815221
55.9241023,-3.2810694
55.9242539,-3.2810005
55.9242465,-3.2806159
55.9246356,-3.2784016
55.92491,-3.2773229
55.9249292,-3.2769952
55.9250154,-3.2766141
55.9256896,-3.273777
55.925733,-3.2736001
55.9258249,-3.27321
55.926287,-3.2713925
55.9265877,-3.2710341
55.926515,-3.2706028
55.9264029,-3.2704476
55.926418,-3.2700408
55.9263205,-3.2696863
55.9264172,-3.269522
55.9263815,-3.2694274
55.9267922,-3.2679566
55.9273547,-3.2670258
55.9274548,-3.2668782
55.9282956,-3.2653245
55.9284445,-3.2650028
55.9284563,-3.2649132
55.9284124,-3.2648569
55.9284379,-3.2647718
55.9284538,-3.2646641
55.9285877,-3.2639885
55.9283729,-3.2636123
55.9286339,-3.2622628
55.9287293,-3.2621506
55.9287241,-3.2618948
55.928878,-3.2614932
55.9289885,-3.2612979
55.9290287,-3.2612268
55.929081,-3.261108
55.9290822,-3.2610159
55.9290827,-3.2609759
55.9290896,-3.2607417
55.9290904,-3.2607155
55.9290974,-3.2604654
55.9290983,-3.2604355
55.929056,-3.2600971
55.9292713,-3.2598573
55.929655,-3.2598761
55.929683,-3.2590577
55.929832,-3.2571676
55.9299821,-3.2563823
55.930057,-3.2561278
55.9301028,-3.2559681
55.9302663,-3.2554394
55.930334,-3.2552105
55.9304247,-3.2549175
55.9306894,-3.2540683
55.9307762,-3.2537924
55.9308473,-3.2535667
55.9308895,-3.2534318
55.9311755,-3.2525252
55.9315122,-3.2514643
55.9317309,-3.2507468
55.9317406,-3.2507156
55.9319701,-3.2499723
55.9320674,-3.2496542
55.9321799,-3.2492753
55.9322296,-3.2491079
55.9325493,-3.2480368
55.9332354,-3.2459826
55.9334341,-3.2456154
55.9335181,-3.2454636
55.9336067,-3.2453102
55.9337698,-3.245028
55.9340231,-3.2446378
55.9341212,-3.2444831
55.93427,-3.2442483
55.9343716,-3.2440938
55.9346255,-3.2436938
55.934815,-3.2434121
55.9349162,-3.2432553
55.9355346,-3.2422452
55.9355887,-3.2421591
55.9360038,-3.2414544
55.9361651,-3.2411101
55.9364936,-3.2397804
55.9365968,-3.2391635
55.9367413,-3.2379514
55.9368714,-3.2368859
55.9371603,-3.2352711
55.9371691,-3.2352266
55.9373974,-3.2342055
55.9375487,-3.2336002
55.9376465,-3.2331689
55.937775,-3.2325619
55.9377979,-3.2324442
55.9379565,-3.231616
55.9381285,-3.2310907
55.9384708,-3.2301334
55.9385263,-3.2299328
55.9386593,-3.2293533
55.9387567,-3.2288219
55.9388086,-3.2285137
55.9389541,-3.2276676
55.9391407,-3.2265212
55.9392028,-3.2262651
55.9391024,-3.225192
55.939079,-3.2234072
55.9394337,-3.2228982
55.9394364,-3.2228944
55.9397478,-3.2224098
55.9398197,-3.220755
55.9398231,-3.2203996
55.9398368,-3.2202643
55.9398521,-3.2201351
55.9399973,-3.2195643
55.9400488,-3.2193664
55.9401122,-3.2191281
55.9402309,-3.2186851
55.940263,-3.2185685
55.9403265,-3.2183251
55.9403581,-3.2182167
55.9405114,-3.2177072
55.9406179,-3.2173885
55.9408024,-3.2169303
55.9409432,-3.2165928
55.9410271,-3.2163936
55.9413073,-3.2157283
55.9416338,-3.214925
55.9419033,-3.214245
55.9421984,-3.2134286
55.9423512,-3.2128692
55.9423971,-3.212674
55.9427313,-3.2113508
55.9428402,-3.2109166
55.9430408,-3.2100753
55.9430826,-3.2098999
55.943285,-3.2089766
55.9433199,-3.2087967
55.9433502,-3.2086343
55.9435197,-3.2078549
55.9437326,-3.2073207
55.9437766,-3.2072256
55.9438835,-3.2070229
55.9442051,-3.206446
55.9443865,-3.2060878
55.9444588,-3.2059137
55.9445822,-3.2056166
55.9447503,-3.2051849
55.9448017,-3.2050551
55.9448823,-3.2048404
55.9451024,-3.2042614
55.9452119,-3.2039653
55.9454482,-3.2032746
55.9456763,-3.2025887
55.945834,-3.2021237
55.9458742,-3.2017302
55.9461333,-3.2010043
55.946499,-3.1990033
55.946556,-3.1985657
55.946643,-3.1983006
55.946704,-3.1981287
55.9467687,-3.1979473
55.9468791,-3.1976378
55.946885,-3.197622
55.9469826,-3.1973127
55.9470549,-3.1970751
55.9472685,-3.1963677
55.9473205,-3.1961827
55.9474262,-3.1957867
55.9475417,-3.195321
55.9475831,-3.1951568
55.9477481,-3.1945044
55.9478107,-3.1942663
55.947821,-3.1942239
55.9478169,-3.1934432
55.9478354,-3.1933463
55.9479181,-3.1931819
55.948041,-3.1926814
55.9482925,-3.1914214
55.9483384,-3.1909695
55.9483866,-3.1904878
55.9484764,-3.1896588
55.9485206,-3.1892447
55.9485503,-3.1889449
55.9485563,-3.188884
55.9485741,-3.1886577
55.9486102,-3.1881926
55.9486311,-3.1879175
55.9486478,-3.1876357
55.9486717,-3.1873165
55.948674,-3.1872939
55.9487869,-3.1865261
55.9487919,-3.1864909
55.9488384,-3.1861838
55.9488833,-3.185986
55.9489692,-3.1855108
55.949051,-3.1846849
55.9490626,-3.184585
55.949086,-3.1843831
55.9491156,-3.1841279
55.9491265,-3.1840341
55.9491646,-3.1837463
